"연번","업소명","지번"
"29"," 큰길포차"," 서울특별시 강남구 역삼동 746번지 10호 1층-3"
"30"," 제이포레시피"," 서울특별시 강남구 역삼동 727번지 8호 운기빌딩 지상1층"
"31"," 역삼지앤에프"," 서울특별시 강남구 역삼동 727번지 8호 운기빌딩 지하2층"
"32"," 완도집"," 서울특별시 강남구 역삼동 727번지 1호 나동1,2층"
"33"," 육칠팔. 아가씨곱창"," 서울특별시 강남구 역삼동 727번지 1호 지상1,2층"
"34"," 회나라"," 서울특별시 강남구 역삼동 738번지 30호"
"35"," 곱창패밀리"," 서울특별시 강남구 역삼동 738번지 29호 지상1층"
"36"," 호가호가"," 서울특별시 강남구 역삼동 738번지 29호 지하1층"
"37"," 한방 정통삼계탕"," 서울특별시 강남구 역삼동 726번지 15호 지상1층"
"38"," 돈가네역삼점"," 서울특별시 강남구 역삼동 726번지 15호"
"39"," (주)최수사"," 서울특별시 강남구 역삼동 738번지 9호 씨앤씨빌딩3층4층"
"40"," 마포만두"," 서울특별시 강남구 역삼동 738번지 9호 지상1층"
"41"," 이것이 족발이다"," 서울특별시 강남구 역삼동 738번지 9호"
"42"," 모리화"," 서울특별시 강남구 역삼동 726번지 번지2,7,8호지상1층"
"43"," 루안"," 서울특별시 강남구 역삼동 726번지"
"44"," (주)참배나무골역삼지점"," 서울특별시 강남구 역삼동 642번지 9호 지하1층"
"45"," 정원식당"," 서울특별시 강남구 역삼동 642번지 6호 지하1층2호"
"46"," 예가"," 서울특별시 강남구 역삼동 642번지 6호 성치하이츠 B1층 3-2, 4-1"
"47"," 오누이식당"," 서울특별시 강남구 역삼동 642번지 6호"
"48"," 강가(주)사가르"," 서울특별시 강남구 역삼동 679번지 0호 GS타워 지하1층"
"49"," 포메인"," 서울특별시 강남구 역삼동 679번지 0호 GS타워 지하1층"
"50"," (주)제퍼강남"," 서울특별시 강남구 역삼동 679번지 엘지아트센터 지하1층"
"51"," (주)아워홈아모리스역삼"," 서울특별시 강남구 역삼동 679번지 0호 외1필지"
"52"," 홈테이블"," 서울특별시 강남구 역삼동 679번지 0호 지에스타워 지하1층"
"53"," 미스터도넛지에스타워점"," 서울특별시 강남구 역삼동 679번지 0호 지하1층"
"54"," 하꼬야"," 서울특별시 강남구 역삼동 679번지 지하1층"
"55"," 애슐리GS역삼점"," 서울특별시 강남구 역삼동 679번지"
"56"," 젠다"," 서울특별시 강남구 역삼동 642번지 10호 송암빌딩 지상3층"
"57"," 호프집"," 서울특별시 강남구 역삼동 642번지 10호 송암빌딩 지하1층"
"58"," 통영집"," 서울특별시 강남구 역삼동 641번지 20호 지하1층"
"59"," 비어플러스"," 서울특별시 강남구 역삼동 668번지 17호 광창빌딩 지하1층"
"60"," 불이아"," 서울특별시 강남구 역삼동 668번지 14호"
"61"," 맥주콜역삼점"," 서울특별시 강남구 역삼동 668번지 14호"
"62"," 명가해물"," 서울특별시 강남구 역삼동 668번지 4호 지상1층"
"63"," 평가옥 3호점"," 서울특별시 강남구 역삼동 641번지 8호 3층"
"64"," 평가옥2호점"," 서울특별시 강남구 역삼동 641번지 8호 지상2층"
"65"," (주)평가옥 푸드시스템 역삼점"," 서울특별시 강남구 역삼동 641번지 8호 지하1, 지상1"
"66"," 포호아"," 서울특별시 강남구 역삼동 668번지 지상1층"
"67"," 원투"," 서울특별시 강남구 역삼동 668번지 0호 지하1층"
"68"," 갯마을"," 서울특별시 강남구 역삼동 628번지 14호"
"69"," 도모"," 서울특별시 강남구 역삼동 628번지 12호"
"70"," 옛골토성역삼점"," 서울특별시 강남구 역삼동 667번지 10호 지상1층"
"71"," 복진면"," 서울특별시 강남구 역삼동 628번지 11호 (지상1층)"
"72"," 마농"," 서울특별시 강남구 역삼동 628번지 11호 지하1층"
"73"," 모랑국기원사거리점"," 서울특별시 강남구 역삼동 648번지 23호 여삼빌딩지하1층"
"74"," 장터"," 서울특별시 강남구 역삼동 648번지 23호 지하1층"
"75"," 박사정식"," 서울특별시 강남구 역삼동 648번지 23호 지하1층"
"76"," 삼정식당"," 서울특별시 강남구 역삼동 648번지 23호"
"77"," 다빈"," 서울특별시 강남구 역삼동 648번지 23호"
"78"," 가마고을"," 서울특별시 강남구 역삼동 823번지 0호 지하1층"
"79"," 예향"," 서울특별시 강남구 역삼동 823번지 0호 지하1층"
"80"," 맛깔참죽특허청점"," 서울특별시 강남구 역삼동 823번지 0호 지하1층B102호"
"81"," 영동손칼국수"," 서울특별시 강남구 역삼동 823번지 0호 특허청지하1층"
"82"," 오봉도시락 강남풍림점"," 서울특별시 강남구 역삼동 823번지 0호 풍림빌딩B-1"
"83"," 비에이치씨 역삼"," 서울특별시 강남구 역삼동 823번지 1호"
"84"," 백경 세꼬시"," 서울특별시 강남구 역삼동 823번지 0호"
"85"," 비젼김밥"," 서울특별시 강남구 역삼동 823번지 0호"
"86"," 화덕"," 서울특별시 강남구 역삼동 823번지 0호"
"87"," 셰프의국수전(역삼테헤란점)"," 서울특별시 강남구 역삼동 823번지 1호"
"88"," 청목"," 서울특별시 강남구 역삼동 823번지 0호"
"89"," 북경"," 서울특별시 강남구 역삼동 823번지 0호"
"90"," 사랑채"," 서울특별시 강남구 역삼동 823번지 0호"
"91"," 전주콩나물국밥"," 서울특별시 강남구 역삼동 823번지 0호"
"92"," 에이그레이트커피 역삼점"," 서울특별시 강남구 역삼동 823번지"
"93"," 소담정"," 서울특별시 강남구 역삼동 823번지 1호"
"94"," 숲속"," 서울특별시 강남구 역삼동 823번지"
"95"," (주)세븐스프링스"," 서울특별시 강남구 역삼동 823번지 21호 지하1층"
"96"," 매드포갈릭 강남점"," 서울특별시 강남구 역삼동 648번지 19호 지하1층"
"97"," 디 오피스"," 서울특별시 강남구 역삼동 823번지 22호"
"98"," 큐브아고라"," 서울특별시 강남구 역삼동 648번지 17호 지하1층"
"99"," 한화호텔앤드리조트(주)한국지식재산센터점"," 서울특별시 강남구 역삼동 647번지 9호 지하1층"
"100"," 버거킹테헤란로점"," 서울특별시 강남구 역삼동 647번지 9호 한국지식재산센터지상1층"
"101"," 포스틸아란치오"," 서울특별시 강남구 역삼동 735번지 3호 지상26층"
"102"," 플로라"," 서울특별시 강남구 역삼동 735번지 3호 지하1층"
"103"," 제우스스타"," 서울특별시 강남구 역삼동 735번지 3호 포스틸타워 지하1층"
"104"," 에떼"," 서울특별시 강남구 역삼동 646번지 7호 지상1층"
"105"," 함초마을"," 서울특별시 강남구 역삼동 646번지 9호 지하1층"
"106"," 아성"," 서울특별시 강남구 역삼동 736번지 6호 지하1층"
"107"," 수오가"," 서울특별시 강남구 역삼동 642번지 16호 성지하이츠2(지하1층14,15호)"
"108"," 신가네솥뚜껑볶음밥"," 서울특별시 강남구 역삼동 642번지 16호 성지하이츠빌딩 지하1층10,11호"
"109"," 인간중심"," 서울특별시 강남구 역삼동 642번지 16호 지하1층 9호"
"110"," 성지한식"," 서울특별시 강남구 역삼동 642번지 16호"
"111"," 부거부거"," 서울특별시 강남구 역삼동 642번지 16호 성지빌딩2-16,17"
"112"," 숙이네"," 서울특별시 강남구 역삼동 642번지 16호"
"113"," 진주분식"," 서울특별시 강남구 역삼동 642번지 19호 지하1층 1호"
"114"," 다미분식"," 서울특별시 강남구 역삼동 642번지 19호"
"115"," 잔치국수2000"," 서울특별시 강남구 역삼동 642번지 19호"
"116"," 생어거스틴 역삼점"," 서울특별시 강남구 역삼동 737번지 0호 강남파이낸스 지하1층"
"117"," 주라꾸"," 서울특별시 강남구 역삼동 737번지 0호 강남파이낸스센타지하1층"
"118"," 오봉팽강남파이낸스센터점"," 서울특별시 강남구 역삼동 737번지 0호 강남파이낸스센터 지상1층"
"119"," 로즈힐냉면"," 서울특별시 강남구 역삼동 737번지 0호 강남파이낸스센터 지하1층"
"120"," 오므토토마토역삼점"," 서울특별시 강남구 역삼동 737번지 0호 강남파이낸스센터 지하1층"
"121"," 매일유업(주)달 역삼점"," 서울특별시 강남구 역삼동 737번지 강남파이낸스센터 지하1층"
"122"," 로즈힐 강남파이낸스센터점"," 서울특별시 강남구 역삼동 737번지 0호 강남파이낸스센터 지하1층"
"123"," 스타차이"," 서울특별시 강남구 역삼동 737번지 0호 강남파이낸스센터 지하1층"
"124"," (주)커피앤드디스트리뷰션오브코리아(역삼점)"," 서울특별시 강남구 역삼동 737번지 0호 강남파이낸스센터 지하2층"
"125"," (주)토마틸로지에프씨"," 서울특별시 강남구 역삼동 737번지 0호 강남파이낸스센터 지하2층"
"126"," 잘차려진밥상"," 서울특별시 강남구 역삼동 737번지 0호 강남파이낸스센터지하1층"
"127"," 찬찬찬"," 서울특별시 강남구 역삼동 737번지 0호 강남파이낸스센터지하2층"
"128"," 깐따레레스토랑"," 서울특별시 강남구 역삼동 737번지 강남파이넨스센타 지하1층"
"129"," 파트너스라운지"," 서울특별시 강남구 역삼동 737번지 0호 강남파이넨스센터지상39층"
"130"," 한미리"," 서울특별시 강남구 역삼동 737번지 0호 스타타워지하1층"
"131"," 푸타오"," 서울특별시 강남구 역삼동 737번지 0호 지하1층"
"132"," 이프카페(If Cafe)"," 서울특별시 강남구 역삼동 737번지 지상2층"
"133"," 포베이강남파이낸스점"," 서울특별시 강남구 역삼동 737번지"
"134"," (주)카페스토브"," 서울특별시 강남구 역삼동 737번지"
"135"," 안동찜닭"," 서울특별시 강남구 역삼동 737번지"
"136"," 미소뜸"," 서울특별시 강남구 역삼동 737번지 0호 지하2층"
"137"," (주)페어몬트인베스트먼트 코바치"," 서울특별시 강남구 역삼동 737번지 강남파이낸스센터"
"138"," 셰 조세피나(Chez Josephina)"," 서울특별시 강남구 역삼동 679번지 5호 지상2층"
"139"," 스위트프로포즈"," 서울특별시 강남구 역삼동 679번지 4호 아이앤지타워 지하1층"
"140"," 명동칼국수샤브샤브"," 서울특별시 강남구 역삼동 720번지 25호 1층역삼디오빌112호"
"141"," 삼풍치킨역삼점"," 서울특별시 강남구 역삼동 720번지 25호 지상1층109호"
"142"," 한솥도시락"," 서울특별시 강남구 역삼동 720번지 25호 지상1층111호"
"143"," 성농찬 백암왕순대"," 서울특별시 강남구 역삼동 720번지 25호 지상1층111호"
