"연번","업소명","지번"
"30"," 뚜레쥬르강남역점"," 서울특별시 강남구 역삼동 816번지 3호 지하1층, 지상1,2층"
"31"," (주)엠투지타코벨 강남지점"," 서울특별시 강남구 역삼동 816번지 1호"
"32"," (주)티지아이에프강남시티점"," 서울특별시 강남구 역삼동 816번지 0호 씨티빌딩 지하2층"
"33"," (주)넥스베이스 포메인강남점"," 서울특별시 강남구 역삼동 815번지 4호 만이빌딩3층"
"34"," 이지웨이 강남역"," 서울특별시 강남구 역삼동 815번지 4호 지상3층"
"35"," 노리타"," 서울특별시 강남구 역삼동 815번지 2호 지하1층"
"36"," 코르도바레스토프"," 서울특별시 강남구 역삼동 815번지 지상2층, 510호"
"37"," 해물떡찜 신안동찜닭"," 서울특별시 강남구 역삼동 814번지 6호 2층 214,215호"
"38"," 오모야"," 서울특별시 강남구 역삼동 814번지 6호 2층210호"
"39"," 파파존스피자강남씨지브이점"," 서울특별시 강남구 역삼동 814번지 6호 3층 307호"
"40"," 벤또랑"," 서울특별시 강남구 역삼동 814번지 6호 스타플렉스2층 209호"
"41"," 씨지브이강남"," 서울특별시 강남구 역삼동 814번지 6호 스타플렉스4층"
"42"," 타누키돈부리"," 서울특별시 강남구 역삼동 814번지 6호 지상212호"
"43"," 올리브팜스샤브시"," 서울특별시 강남구 역삼동 814번지 6호 지하1층"
"44"," 반가"," 서울특별시 강남구 역삼동 814번지 6호 스타플랙스 지상2층-203,204"
"45"," 쿠이하우스"," 서울특별시 강남구 역삼동 814번지 5호 B동 별관 지상1층"
"46"," 옛골토성강남점"," 서울특별시 강남구 역삼동 814번지 5호 C동1층"
"47"," 카푸치노 스트립"," 서울특별시 강남구 역삼동 814번지 5호 C동3층"
"48"," 셰막"," 서울특별시 강남구 역삼동 814번지 5호 별관 B동 3층"
"49"," 더블린"," 서울특별시 강남구 역삼동 814번지 5호 지상2층"
"50"," 놀부맑은설렁탕담다&놀부보쌈강남점"," 서울특별시 강남구 역삼동 814번지 5호 지상2층"
"51"," 봉추찜닭주공공이"," 서울특별시 강남구 역삼동 814번지 5호 흥국빌딩별관2층"
"52"," 블랙스미스 강남역점"," 서울특별시 강남구 역삼동 814번지 5호 흥국생명빌딩 지상1층"
"53"," 이세"," 서울특별시 강남구 역삼동 814번지 5호 흥국생명빌딩 지하1층"
"54"," 등나무집"," 서울특별시 강남구 역삼동 814번지 3호"
"55"," 오사카오쇼"," 서울특별시 강남구 역삼동 619번지 15호 2층"
"56"," 몰타"," 서울특별시 강남구 역삼동 619번지 15호 지상3층"
"57"," 넘버텐강남1점"," 서울특별시 강남구 역삼동 619번지 15호 지하1층"
"58"," 갑"," 서울특별시 강남구 역삼동 619번지 15호"
"59"," 파시야"," 서울특별시 강남구 역삼동 619번지 15호"
"60"," 언드제네럴반점"," 서울특별시 강남구 역삼동 619번지 5호 스타빌딩 지상1층"
"61"," 스시노 백쉐프"," 서울특별시 강남구 역삼동 619번지 5호 스타타워 지상2층"
"62"," 강남역점 소담애"," 서울특별시 강남구 역삼동 619번지 5호"
"63"," 더(the)쭈꾸미"," 서울특별시 강남구 역삼동 619번지 19호 지상1층102호"
"64"," 고향두부마을"," 서울특별시 강남구 역삼동 619번지 19호 지하1층"
"65"," 홍콩반점0410"," 서울특별시 강남구 역삼동 619번지 22호"
"66"," 키친 논야"," 서울특별시 강남구 역삼동 813번지 18호"
"67"," 미즈컨테이너이스트"," 서울특별시 강남구 역삼동 813번지 14호 지하1층,지상1,2,3층"
"68"," 뉴코피커피(NEW KOPI COFFEE)"," 서울특별시 강남구 역삼동 813번지 15호 지상 1,2,3층"
"69"," 에이치빔(H_beam)"," 서울특별시 강남구 역삼동 813번지 15호 지하1층"
"70"," 커피갤러리"," 서울특별시 강남구 역삼동 813번지 9호 지하1층,지상1,2층"
"71"," 사이타마야 역삼점"," 서울특별시 강남구 역삼동 813번지 13호 지하1층"
"72"," 아소산"," 서울특별시 강남구 역삼동 619번지 4호 정연빌딩지상1층102호지상2층"
"73"," 코코이찌방야"," 서울특별시 강남구 역삼동 619번지 4호 지상1층103호"
"74"," 설빙 강남역점"," 서울특별시 강남구 역삼동 619번지 4호 장연빌딩-202"
"75"," 뽕신 강남점"," 서울특별시 강남구 역삼동 813번지 12호"
"76"," 세떼비앙"," 서울특별시 강남구 역삼동 813번지 12호"
"77"," 카니발피자(강남점)"," 서울특별시 강남구 역삼동 619번지 3호 지상1층"
"78"," VIN(빈)103"," 서울특별시 강남구 역삼동 619번지 3호 지하1층"
"79"," 브릴리언트로스팅랩"," 서울특별시 강남구 역삼동 619번지 3호 까치빌딩 지하1층"
"80"," 더샌드"," 서울특별시 강남구 역삼동 619번지 2호 (B층 102호)"
"81"," 빅플라토"," 서울특별시 강남구 역삼동 619번지 2호 지상1층"
"82"," 25 카츠"," 서울특별시 강남구 역삼동 619번지 2호 지하1층"
"83"," 더바나나앤코"," 서울특별시 강남구 역삼동 812번지 17호 지하1층,지상1층,지상2층"
"84"," 제이에스키친"," 서울특별시 강남구 역삼동 619번지 1호 지상1층"
"85"," 훌리오"," 서울특별시 강남구 역삼동 619번지 1호 지하1층"
"86"," 빈스플"," 서울특별시 강남구 역삼동 812번지 15호 지상2층"
"87"," 오리엔탈스푼"," 서울특별시 강남구 역삼동 812번지 15호"
"88"," 아비꼬강남역"," 서울특별시 강남구 역삼동 812번지 14호"
"89"," 더 엘가"," 서울특별시 강남구 역삼동 618번지 8호 1층"
"90"," 리믹스 앤 더 쿡(강남역점)"," 서울특별시 강남구 역삼동 618번지 8호 지하1층"
"91"," 비행기 101"," 서울특별시 강남구 역삼동 831번지 24호 (B2)"
"92"," 아사칸 강남2호점"," 서울특별시 강남구 역삼동 831번지 24호 지상2층"
"93"," 화끈한오징어"," 서울특별시 강남구 역삼동 831번지 24호"
"94"," 깐부치킨 강남역 플래티넘점"," 서울특별시 강남구 역삼동 831번지 25호"
"95"," 신씨화로"," 서울특별시 강남구 역삼동 831번지 25호"
"96"," 순설렁탕"," 서울특별시 강남구 역삼동 831번지 25호"
"97"," 옛날농장"," 서울특별시 강남구 역삼동 831번지 26호 지상1층"
"98"," 오븐에 빠진닭"," 서울특별시 강남구 역삼동 831번지 26호 지상2층"
"99"," 미인참치(본점)"," 서울특별시 강남구 역삼동 831번지 27호"
"100"," 스시 마이우"," 서울특별시 강남구 역삼동 831번지 27호"
"101"," (주)강남담소사골순대"," 서울특별시 강남구 역삼동 830번지 1호 지상1층"
"102"," 교동 전선생"," 서울특별시 강남구 역삼동 827번지 22호 세원빌딩 지상1층101호"
"103"," 한방대가삼계탕"," 서울특별시 강남구 역삼동 827번지 22호"
"104"," 교동 짬뽕"," 서울특별시 강남구 역삼동 827번지 22호 지상2층"
"105"," 착한무안뻘낙지"," 서울특별시 강남구 역삼동 827번지 23호"
"106"," (주)효소원 강남본점"," 서울특별시 강남구 역삼동 827번지 23호"
"107"," 카페파스타"," 서울특별시 강남구 역삼동 827번지 69호 지상1층"
"108"," 세븐"," 서울특별시 강남구 역삼동 827번지 69호"
"109"," 곰씨네"," 서울특별시 강남구 역삼동 827번지 68호"
"110"," 금단지"," 서울특별시 강남구 역삼동 831번지 3호 지상1층"
"111"," 앨펍 강남점"," 서울특별시 강남구 역삼동 831번지 3호 지하1층"
"112"," y(와이)"," 서울특별시 강남구 역삼동 831번지 3호 한국빌딩2층"
"113"," 포마토스픈"," 서울특별시 강남구 역삼동 826번지 27호 1층4호"
"114"," 차와주전부리 차오름 강남점"," 서울특별시 강남구 역삼동 826번지 27호 지상1층3호"
"115"," 비어호프"," 서울특별시 강남구 역삼동 826번지 27호 지상2층"
"116"," 어촌과 바다"," 서울특별시 강남구 역삼동 824번지 11호 지하1층.108∼114호"
"117"," 용우동"," 서울특별시 강남구 역삼동 824번지 11호 1층 107.108.109호"
"118"," (주)우동명가기리야마본진"," 서울특별시 강남구 역삼동 824번지 11호"
"119"," 이당족발 . 순대국"," 서울특별시 강남구 역삼동 827번지 43호"
"120"," 가츠라"," 서울특별시 강남구 역삼동 827번지 43호 지상2층"
"121"," 강남옛날돈까스"," 서울특별시 강남구 역삼동 827번지 44호 지상2층"
"122"," 남도손맛"," 서울특별시 강남구 역삼동 827번지 45호 지상1층"
"123"," 명동칼국수"," 서울특별시 강남구 역삼동 827번지 45호"
"124"," 라쿠"," 서울특별시 강남구 역삼동 824번지 25호 대우디오빌지하1층101호"
"125"," 고등어식당"," 서울특별시 강남구 역삼동 824번지 25호 대우디오빌플러스지하1층109호"
"126"," 얌통강남점"," 서울특별시 강남구 역삼동 824번지 25호 지하1층 113호"
"127"," 수미정"," 서울특별시 강남구 역삼동 824번지 25호 지하1층114호"
"128"," 보쌈집(bossamzip)"," 서울특별시 강남구 역삼동 824번지 25호 지하1층115호"
"129"," 인간중심강남2호점"," 서울특별시 강남구 역삼동 824번지 25호 제지하1층-108"
"130"," 양탕국"," 서울특별시 강남구 역삼동 824번지 25호"
"131"," 음악국수집"," 서울특별시 강남구 역삼동 824번지 25호"
"132"," 통돼지 찌개집"," 서울특별시 강남구 역삼동 827번지 46호 지상1,2층"
"133"," 밥앤불고기"," 서울특별시 강남구 역삼동 827번지 47호"
"134"," 베이스"," 서울특별시 강남구 역삼동 826번지 3호 지상1층"
"135"," 둥굴관"," 서울특별시 강남구 역삼동 819번지 6호"
"136"," 바우골 참숯화로구이"," 서울특별시 강남구 역삼동 649번지 9호"
"137"," 미토미"," 서울특별시 강남구 역삼동 649번지 8호 지상1층"
"138"," 이루아"," 서울특별시 강남구 역삼동 649번지 7호 지상1층"
"139"," 지세포식당"," 서울특별시 강남구 역삼동 649번지 6호"
"140"," 더 차이나"," 서울특별시 강남구 역삼동 649번지 6호"
"141"," 오봉참치"," 서울특별시 강남구 역삼동 649번지 6호 2층"
"142"," 김밥속으로"," 서울특별시 강남구 역삼동 819번지 0호 1층102호"
"143"," 진이네"," 서울특별시 강남구 역삼동 819번지 0호 지상2층"
"144"," 와플베어"," 서울특별시 강남구 역삼동 819번지 0호 지상2층"
"145"," 명동칼국수샤브샤브강남점"," 서울특별시 강남구 역삼동 819번지 0호 지상2층"
"146"," 도쿄카레강남점"," 서울특별시 강남구 역삼동 818번지 13호 지상1층"
"147"," 송아골"," 서울특별시 강남구 역삼동 818번지 13호 지상2층"
"148"," 텟펜 강남점"," 서울특별시 강남구 역삼동 819번지 1호 1층"
"149"," 에이블스퀘어"," 서울특별시 강남구 역삼동 819번지 1호 2층"
"150"," 김부자집"," 서울특별시 강남구 역삼동 818번지 11호 1층"
"151"," 에스오에스(S.O.S)"," 서울특별시 강남구 역삼동 818번지 11호 지하1층"
"152"," 백화식당"," 서울특별시 강남구 역삼동 819번지 2호 (지하1층)"
"153"," 종로삼계탕"," 서울특별시 강남구 역삼동 819번지 2호"
"154"," 무아족발보쌈"," 서울특별시 강남구 역삼동 818번지 10호 지상1층"
"155"," 본죽강남역점"," 서울특별시 강남구 역삼동 818번지 8호 지상1층"
"156"," 빅락 레스토랑"," 서울특별시 강남구 역삼동 818번지 8호 지하1층"
"157"," 타미하우스"," 서울특별시 강남구 역삼동 818번지 8호"
"158"," 강남 노가리"," 서울특별시 강남구 역삼동 818번지 8호 지상1층"
"159"," 해적떡볶이"," 서울특별시 강남구 역삼동 818번지 8호 지상1층"
"160"," 더하이브"," 서울특별시 강남구 역삼동 818번지 7호 지상3층"
"161"," 삼청골명가더수제비"," 서울특별시 강남구 역삼동 818번지 7호"
"162"," 박가부대 강남역점"," 서울특별시 강남구 역삼동 818번지 7호"
"163"," 신의주찹쌀순대"," 서울특별시 강남구 역삼동 818번지 7호"
"164"," 부산삼정"," 서울특별시 강남구 역삼동 635번지 7호 지상2층"
"165"," 창"," 서울특별시 강남구 역삼동 635번지 6호 601,701호"
"166"," 더블린테라스"," 서울특별시 강남구 역삼동 635번지 6호 태리빌딩 지하B1,B2"
"167"," 김가네"," 서울특별시 강남구 역삼동 635번지 13호 지상1층"
"168"," 스시남"," 서울특별시 강남구 역삼동 635번지 13호 지상1층"
"169"," 미타야"," 서울특별시 강남구 역삼동 635번지 13호 지하1층"
"170"," 땡초불닭발 동대문엽기떡볶이(역삼점)"," 서울특별시 강남구 역삼동 635번지 13호 2층"
"171"," 선오뎅"," 서울특별시 강남구 역삼동 635번지 13호 지상1층"
"172"," (주)철든놈 제2공장"," 서울특별시 강남구 역삼동 649번지 0호 지하1층"
"173"," 판도라"," 서울특별시 강남구 역삼동 649번지 0호 지하2층"
"174"," 한우경매마당"," 서울특별시 강남구 역삼동 649번지 2호 지상1층"
"175"," 이제이바"," 서울특별시 강남구 역삼동 649번지 2호 케이앤와이빌딩지하2층"
"176"," 청솔분식"," 서울특별시 강남구 역삼동 649번지 3호 지하2층"
"177"," 수"," 서울특별시 강남구 역삼동 648번지 3호"
"178"," 휴"," 서울특별시 강남구 역삼동 648번지 3호"
"179"," 사과나무"," 서울특별시 강남구 역삼동 648번지 3호"
"180"," 프레임"," 서울특별시 강남구 역삼동 636번지 21호 지하1층"
"181"," 라임"," 서울특별시 강남구 역삼동 636번지 21호"
"182"," 페페론치노"," 서울특별시 강남구 역삼동 636번지 22호"
"183"," 강남 삿뽀로"," 서울특별시 강남구 역삼동 648번지 9호"
"184"," 나주곰탕우정집"," 서울특별시 강남구 역삼동 636번지 16호 지상1층"
"185"," 더블유 다이닝 앤 라운지"," 서울특별시 강남구 역삼동 636번지 16호"
"186"," 룽청"," 서울특별시 강남구 역삼동 636번지 15호"
"187"," 신촌설렁탕함흥냉면"," 서울특별시 강남구 역삼동 636번지 15호"
"188"," 휠링"," 서울특별시 강남구 역삼동 637번지 20호 지하1층(B2)"
"189"," 더블에스"," 서울특별시 강남구 역삼동 637번지 20호"
"190"," 젠다"," 서울특별시 강남구 역삼동 647번지 1호 지상2층"
"191"," 원할머니보쌈 역삼역점"," 서울특별시 강남구 역삼동 647번지 1호"
"192"," 송탄부대찌개전문점"," 서울특별시 강남구 역삼동 637번지 23호 지하1층"
"193"," 테라스"," 서울특별시 강남구 역삼동 637번지 23호"
"194"," 취원"," 서울특별시 강남구 역삼동 647번지 2호"
"195"," 맛조림"," 서울특별시 강남구 역삼동 637번지 34호 ,2층"
"196"," 돈이네"," 서울특별시 강남구 역삼동 637번지 34호 지상1층"
"197"," 함평한우"," 서울특별시 강남구 역삼동 637번지 24호"
"198"," 더 프레임(The Frame)"," 서울특별시 강남구 역삼동 637번지 24호"
"199"," 더후라이팬"," 서울특별시 강남구 역삼동 647번지 3호 지상1층"
"200"," 수복분식"," 서울특별시 강남구 역삼동 647번지 3호"
"201"," 핫썬치킨(역삼역점)"," 서울특별시 강남구 역삼동 637번지 35호"
"202"," 강남 옛날 돈까스 즉석 떡볶이"," 서울특별시 강남구 역삼동 637번지 35호"
"203"," 김밥천국(푸드카페)"," 서울특별시 강남구 역삼동 647번지 4호 1층"
"204"," 선린"," 서울특별시 강남구 역삼동 647번지 4호 지하1층"
"205"," 하나"," 서울특별시 강남구 역삼동 637번지 36호 구영빌딩101호"
"206"," 본비빔밥"," 서울특별시 강남구 역삼동 637번지 36호 지상2층 201호"
"207"," 예스"," 서울특별시 강남구 역삼동 637번지 36호 지하1층"
"208"," 씽"," 서울특별시 강남구 역삼동 637번지 36호"
"209"," 신대흥장"," 서울특별시 강남구 역삼동 637번지 36호"
"210"," 플로리안"," 서울특별시 강남구 역삼동 637번지 36호"
"211"," 원당뼈다귀감자탕"," 서울특별시 강남구 역삼동 645번지 20호"
"212"," 명동칼국수 샤브샤브"," 서울특별시 강남구 역삼동 645번지 20호"
"213"," 탐라왕돌구이"," 서울특별시 강남구 역삼동 646번지 4호"
"214"," (이층) 맥주창고"," 서울특별시 강남구 역삼동 646번지 4호"
"215"," 박성희 동태탕&찜"," 서울특별시 강남구 역삼동 646번지 4호 지상3층"
"216"," 놀부부대찌개&철판구이"," 서울특별시 강남구 역삼동 644번지 4호 지상1층"
"217"," 둘둘치킨역삼1호점"," 서울특별시 강남구 역삼동 644번지 4호 지상2층"
"218"," 명인만두"," 서울특별시 강남구 역삼동 644번지 4호"
"219"," 루이"," 서울특별시 강남구 역삼동 646번지 5호 지상2층"
"220"," 소야소야"," 서울특별시 강남구 역삼동 646번지 5호 1층"
"221"," 퓨전"," 서울특별시 강남구 역삼동 646번지 5호"
"222"," 더드림역삼점"," 서울특별시 강남구 역삼동 644번지 5호 지하1층"
"223"," 포베이"," 서울특별시 강남구 역삼동 818번지 14호 지상1층"
"224"," 더 고구려"," 서울특별시 강남구 역삼동 818번지 14호 지상2층"
"225"," 미스터 마스터(Mr.master)"," 서울특별시 강남구 역삼동 818번지 14호"
"226"," 공차"," 서울특별시 강남구 역삼동 644번지 17호 지상1층"
"227"," 신의주 찹쌀 순대 부대찌게"," 서울특별시 강남구 역삼동 644번지 17호 지상1층"
"228"," 다복 왕갈비탕 함흥냉면"," 서울특별시 강남구 역삼동 644번지 17호 지상2층"
"229"," 함경도토종왕순대"," 서울특별시 강남구 역삼동 646번지 13호"
"230"," 비비큐치킨"," 서울특별시 강남구 역삼동 646번지 13호"
"231"," 나주곰탕"," 서울특별시 강남구 역삼동 644번지 19호 (지하1층)"
"232"," 엠차이나(M차이나)"," 서울특별시 강남구 역삼동 644번지 19호"
"233"," 탄"," 서울특별시 강남구 역삼동 817번지 16호 지상1층"
"234"," 도모다찌"," 서울특별시 강남구 역삼동 817번지 16호 지하1층"
"235"," 스패뉴"," 서울특별시 강남구 역삼동 817번지 12호 지상2층"
"236"," 무교동낙지"," 서울특별시 강남구 역삼동 817번지 12호"
"237"," 월매네주막"," 서울특별시 강남구 역삼동 817번지 12호"
"238"," 써브웨이"," 서울특별시 강남구 역삼동 818번지 1호 에이동1층제1호"
"239"," 순살안동찜닭"," 서울특별시 강남구 역삼동 818번지 1호"
"240"," 초심"," 서울특별시 강남구 역삼동 817번지 17호"
"241"," 꼼씨네"," 서울특별시 강남구 역삼동 817번지 17호"
"242"," 비비드"," 서울특별시 강남구 역삼동 817번지 18호 2층 정해빌딩"
"243"," 강남분식"," 서울특별시 강남구 역삼동 818번지 3호"
"244"," 오븐에빠진닭"," 서울특별시 강남구 역삼동 818번지 3호"
"245"," 클럽맘보"," 서울특별시 강남구 역삼동 817번지 21호 일우빌딩지상6층"
"246"," 서래갈매기"," 서울특별시 강남구 역삼동 817번지 21호 지상1층"
"247"," 가양양꼬치"," 서울특별시 강남구 역삼동 817번지 21호 지상2층"
"248"," 일품각양꼬치훠궈"," 서울특별시 강남구 역삼동 818번지 4호 지하1층"
"249"," 도네누 강남시티점"," 서울특별시 강남구 역삼동 818번지 4호"
"250"," 먹쇠"," 서울특별시 강남구 역삼동 817번지 22호 영우빌딩2층"
"251"," 우드스탁투"," 서울특별시 강남구 역삼동 817번지 22호"
"252"," 짚동가리 쌩주"," 서울특별시 강남구 역삼동 818번지 5호 지하1,2층"
"253"," 쎌빠"," 서울특별시 강남구 역삼동 818번지 5호 지상1층"
"254"," 블링스톤(치킨호프)"," 서울특별시 강남구 역삼동 818번지 5호 지상2층"
"255"," 꼬꼬시티"," 서울특별시 강남구 역삼동 818번지 6호"
"256"," 큐브"," 서울특별시 강남구 역삼동 816번지 4호 재영빌딩 지상5층"
"257"," 파파스 레시피"," 서울특별시 강남구 역삼동 816번지 4호 지상2층"
"258"," 스위트룸"," 서울특별시 강남구 역삼동 816번지 4호 지상4층"
"259"," 크레이지후크"," 서울특별시 강남구 역삼동 816번지 4호 지하1~2층"
"260"," 자니로켓 강남역점"," 서울특별시 강남구 역삼동 816번지 4호"
"261"," 콩불"," 서울특별시 강남구 역삼동 817번지 11호"
"262"," 가쓰라강남점"," 서울특별시 강남구 역삼동 817번지 11호"
"263"," 누들박스"," 서울특별시 강남구 역삼동 817번지 11호 지상1층"
"264"," 다미분식"," 서울특별시 강남구 역삼동 817번지 11호 지상1층"
"265"," 비어 클라우드"," 서울특별시 강남구 역삼동 817번지 11호 지상3층"
"266"," 전집"," 서울특별시 강남구 역삼동 817번지 1호 지상1층"
"267"," 비랩"," 서울특별시 강남구 역삼동 817번지 1호 지상2층"
"268"," 몽817"," 서울특별시 강남구 역삼동 817번지 1호 지하1층"
"269"," 스시에비뉴 강남점"," 서울특별시 강남구 역삼동 619번지 28호 지상1층"
"270"," 서랑갈매기"," 서울특별시 강남구 역삼동 619번지 28호 지상2층"
"271"," 부활스토리"," 서울특별시 강남구 역삼동 619번지 28호 지상3층"
"272"," 토모노"," 서울특별시 강남구 역삼동 619번지 28호 지하1층"
"273"," 유이안"," 서울특별시 강남구 역삼동 619번지 28호 지하2층"
"274"," 두부공작소"," 서울특별시 강남구 역삼동 817번지 33호 지상1층"
"275"," 홍초불닭강남점"," 서울특별시 강남구 역삼동 817번지 33호 지하1층"
"276"," 차도리"," 서울특별시 강남구 역삼동 817번지 33호"
"277"," 매그놀리아"," 서울특별시 강남구 역삼동 817번지 3호"
"278"," 아후바티"," 서울특별시 강남구 역삼동 817번지 31호 .32"
"279"," 술술술닷컴"," 서울특별시 강남구 역삼동 817번지 31호 지상3층"
"280"," 명성갈매기"," 서울특별시 강남구 역삼동 817번지 31호"
"281"," 화목순대국강남점"," 서울특별시 강남구 역삼동 817번지 2호 지상1층"
"282"," 감성캠핑맥주창고"," 서울특별시 강남구 역삼동 817번지 2호"
"283"," 가네샤"," 서울특별시 강남구 역삼동 817번지 2호"
"284"," 알부자알요리전문점"," 서울특별시 강남구 역삼동 817번지 34호 지상1,2층"
"285"," 왓섭"," 서울특별시 강남구 역삼동 817번지 34호 지상3층"
"286"," 보글링"," 서울특별시 강남구 역삼동 817번지 34호 지하1층"
"287"," 쉐진"," 서울특별시 강남구 역삼동 817번지 35호 지상1,2층"
"288"," 아실라"," 서울특별시 강남구 역삼동 817번지 35호 지하1층"
"289"," 홉스 피제리아 강남역점"," 서울특별시 강남구 역삼동 817번지 35호 파빌리온 지상6층"
"290"," 퍼피스푼"," 서울특별시 강남구 역삼동 620번지 9호 지상1층"
"291"," 까사스테이크"," 서울특별시 강남구 역삼동 817번지 36호 지상1,2층"
"292"," 코푸 플레이트"," 서울특별시 강남구 역삼동 817번지 37호"
"293"," 사이드웨이 레스토랑"," 서울특별시 강남구 역삼동 817번지 38호 1층"
"294"," 누들꼬꼬"," 서울특별시 강남구 역삼동 817번지 0호 지상2,3층"
"295"," 마루가메제면 강남점"," 서울특별시 강남구 역삼동 817번지"
"296"," 젊은오빠 족발"," 서울특별시 강남구 역삼동 619번지 27호 의성빌딩지하1층"
"297"," 비어테라스"," 서울특별시 강남구 역삼동 619번지 27호 지상3층"
"298"," 달인국수김밥"," 서울특별시 강남구 역삼동 821번지 1호 강남역지하상가 B-1"
"299"," 리틀제이콥스"," 서울특별시 강남구 역삼동 821번지 1호 강남역지하상가지하1층A21호"
"300"," 라바트"," 서울특별시 강남구 역삼동 821번지 1호 지하2층"
"301"," 아이해브어드림"," 서울특별시 강남구 역삼동 821번지 0호 지하3층"
"302"," 김밥천국"," 서울특별시 강남구 역삼동 821번지 1호 지하상가 E-42"
"303"," 뉴욕프라이즈 강남역점"," 서울특별시 강남구 역삼동 821번지 1호"
"304"," 카페김밥천국"," 서울특별시 강남구 역삼동 821번지 1호"
"305"," 라바짜바이"," 서울특별시 강남구 역삼동 821번지 1호 강남역지하도상가 지하1층-E41"
"306"," 팬군만두"," 서울특별시 강남구 역삼동 822번지 0호 ,1층"
"307"," 서초동연가"," 서울특별시 강남구 역삼동 822번지 0호 1층"
"308"," 플래티늄"," 서울특별시 강남구 역삼동 822번지 번지2,3호케이타워지하1층지상1,2층"
"309"," 명인만두"," 서울특별시 강남구 역삼동 822번지 0호 지상1층"
"310"," 뉴욕프라이즈강남점"," 서울특별시 강남구 역삼동 822번지 0호 지상1층"
"311"," 용두동쭈꾸미(강남포차)"," 서울특별시 강남구 역삼동 822번지 0호 지상1층"
"312"," 알프스호프"," 서울특별시 강남구 역삼동 822번지 1호"
"313"," 와라와라"," 서울특별시 강남구 역삼동 822번지 1호 지하1층"
"314"," 7트레인(7TRAIN)"," 서울특별시 강남구 역삼동 822번지 2호 비전타워 지하1층"
"315"," 갓텐스시강남점"," 서울특별시 강남구 역삼동 822번지 4호 강남제일빌딩 1층"
"316"," 마노디셰프 강남점"," 서울특별시 강남구 역삼동 825번지 18호 지하1층"
"317"," 금문도"," 서울특별시 강남구 역삼동 822번지 5호"
"318"," 그랑쉐프"," 서울특별시 강남구 역삼동 649번지 11호 엘아이지타워지하1층"
"319"," 둘둘치킨"," 서울특별시 강남구 역삼동 649번지 14호 지상1층"
"320"," 동해도일식"," 서울특별시 강남구 역삼동 649번지 14호 지하1층"
